Clasificacion jornada 5
 1. Barcelona             15 puntos
 2. At Madrid             15 puntos
 3. Real Madrid           13 puntos
 4. Espanyol              11 puntos
 5. Villarreal            11 puntos
 6. Ath Bilbao             9 puntos
 7. Levante                6 puntos
 8. Celta                  6 puntos
 9. Real Sociedad          6 puntos
10. Valencia               6 puntos
11. Betis                  5 puntos
12. Granada                5 puntos
13. Malaga                 5 puntos
14. Real Valladolid        4 puntos
15. Getafe                 4 puntos
16. Osasuna                3 puntos
17. Rayo Vallecano         3 puntos
18. Elche                  3 puntos
19. Almeria                3 puntos
20. Sevilla                2 puntos
